06/10/2019,"Reference: AT192800008000010012723"," 8,86","UBER EATS SAN FRANCISCO","9.48 USD COMM.FEE 0.17 Buchungsdatum 06/10/2019 Referenzwechselkurs 1.0909 Entgelt in &#8364; 0,17",
07/10/2019,"Reference: AT192810007000010037440"," 8,41","MAMAS PIZZA ALPHARETTA ALPHARETTA","9.00 USD COMM.FEE 0.16 Buchungsdatum 08/10/2019 Referenzwechselkurs 1.0909 Entgelt in &#8364; 0,16",
07/10/2019,"Reference: AT192810007000010038476"," 11,45","PUBLIX #1061 000001061 ATLANTA","12.25 USD COMM.FEE 0.22 EINKAUF: REFER TO RECEIPT ANZAHL: 000 BETRAG: .00 EINKAUF: ANZAHL: 000 BETRAG: .00 EINKAUF: ANZAHL: 000 BETRAG: .00 EINKAUF: ANZAHL: 000 BETRAG: .00 EINKAUF: ANZAHL: 000 BETRAG: .00 Buchungsdatum 08/10/2019 Referenzwechselkurs 1.0908 Entgelt in &#8364; 0,22  EINKAUF: REFER TO RECEIPT ANZAHL: 000 BETRAG: .00 EINKAUF: ANZAHL: 000 BETRAG: .00 EINKAUF: ANZAHL: 000 BETRAG: .00 EINKAUF: ANZAHL: 000 BETRAG: .00 EINKAUF: ANZAHL: 000 BETRAG: .00",
08/10/2019,"Reference: AT192810007000010033503"," 18,81","Bundesamt f r Justiz Bern","20.00 CHF COMM.FEE 0.37 EINKAUF: OAPBJ-B65260508BD-8 ANZAHL: 000 BETRAG: .00 EINKAUF: 82715620_0000 ANZAHL: 000 BETRAG: .00 EINKAUF: ANZAHL: 000 BETRAG: .00 EINKAUF: ANZAHL: 000 BETRAG: .00 EINKAUF: ANZAHL: 000 BETRAG: .00 Buchungsdatum 08/10/2019 Referenzwechselkurs 1.0846 Entgelt in &#8364; 0,37  EINKAUF: OAPBJ-B65260508BD-8 ANZAHL: 000 BETRAG: .00 EINKAUF: 82715620_0000 ANZAHL: 000 BETRAG: .00 EINKAUF: ANZAHL: 000 BETRAG: .00 EINKAUF: ANZAHL: 000 BETRAG: .00 EINKAUF: ANZAHL: 000 BETRAG: .00",
08/10/2019,"Reference: AT192820034000010002522"," 12,41","UBER EATS SAN FRANCISCO","13.26 USD COMM.FEE 0.24 Buchungsdatum 09/10/2019 Referenzwechselkurs 1.0896 Entgelt in &#8364; 0,24",
09/10/2019,"Reference: AT192830007000010045712"," 16,83","FBI IDENTIFICATION RECO CLARKSBURG","18.00 USD COMM.FEE 0.33 Buchungsdatum 10/10/2019 Referenzwechselkurs 1.0909 Entgelt in &#8364; 0,33",
10/10/2019,"Reference: AT192840010000010044168"," 22,62","RYANAIR LTD AIRLINE DUBLIN","Flugstrecke: ATHENS Abflug:23/11/19 Von: BUCHAREST OTOPENI Fluglinie: FR Klasse: N Flugschein Nummer: C61PSG Fluggast: PADMAKUMARAMALLIKAARACHCH Buchungsdatum 11/10/2019  Flugstrecke: ATHENS Abflug:23/11/19 Von: BUCHAREST OTOPENI Fluglinie: FR Klasse: N Flugschein Nummer: C61PSG Fluggast: PADMAKUMARAMALLIKAARACHCH",
10/10/2019,"Reference: AT192840010000010044169"," 26,61","RYANAIR LTD AIRLINE DUBLIN","Flugstrecke: ROME CIAMPINO APT Abflug:27/11/19 Von: COPENHAGEN APT Fluglinie: FR Klasse: T Flugschein Nummer: V7GTXG Fluggast: PADMAKUMARAMALLIKAARACHCH Buchungsdatum 11/10/2019  Flugstrecke: ROME CIAMPINO APT Abflug:27/11/19 Von: COPENHAGEN APT Fluglinie: FR Klasse: T Flugschein Nummer: V7GTXG Fluggast: PADMAKUMARAMALLIKAARACHCH",
10/10/2019,"Reference: AT192840010000010044170"," 21,31","RYANAIR LTD AIRLINE DUBLIN","Flugstrecke: BUCHAREST OTOPENI Abflug:25/11/19 Von: ROME CIAMPINO APT Fluglinie: FR Klasse: T Flugschein Nummer: W75IGG Fluggast: PADMAKUMARAMALLIKAARACHCH Buchungsdatum 11/10/2019  Flugstrecke: BUCHAREST OTOPENI Abflug:25/11/19 Von: ROME CIAMPINO APT Fluglinie: FR Klasse: T Flugschein Nummer: W75IGG Fluggast: PADMAKUMARAMALLIKAARACHCH",
10/10/2019,"Reference: AT192840010000010044171"," 10,85","RYANAIR LTD AIRLINE DUBLIN","Flugstrecke: COPENHAGEN APT Abflug:30/11/19 Von: NUREMBERG APT Fluglinie: FR Klasse: N Flugschein Nummer: WTTG7B Fluggast: PADMAKUMARAMALLIKAARACHCH Buchungsdatum 11/10/2019  Flugstrecke: COPENHAGEN APT Abflug:30/11/19 Von: NUREMBERG APT Fluglinie: FR Klasse: N Flugschein Nummer: WTTG7B Fluggast: PADMAKUMARAMALLIKAARACHCH",
10/10/2019,"Reference: AT192840027000010003419"," 11,77","UBER EATS SAN FRANCISCO","12.64 USD COMM.FEE 0.23 Buchungsdatum 11/10/2019 Referenzwechselkurs 1.0953 Entgelt in &#8364; 0,23",
11/10/2019,"Reference: AT192850016000010002540"," 24,47","UBER EATS SAN FRANCISCO","26.27 USD COMM.FEE 0.48 Buchungsdatum 12/10/2019 Referenzwechselkurs 1.095 Entgelt in &#8364; 0,48",
12/10/2019,"Reference: AT192870011000010016236"," 69,89","LA CABANA MEXICAN RESTA DILLARD","75.00 USD COMM.FEE 1.37 Buchungsdatum 13/10/2019 Referenzwechselkurs 1.0946 Entgelt in &#8364; 1,37",
12/10/2019,"Reference: AT192870011000010017027"," 24,67","RYANAIR LTD AIRLINE DUBLIN","26.47 USD COMM.FEE 0.48 Flugstrecke: BUCHAREST OTOPENI Abflug:25/11/19 Von: ROME CIAMPINO APT Fluglinie: FR Klasse: W Flugschein Nummer: OU7PWR Fluggast: PADMAKUMARAMALLIKAARACHCH Buchungsdatum 14/10/2019 Referenzwechselkurs 1.0943 Entgelt in &#8364; 0,48  Flugstrecke: BUCHAREST OTOPENI Abflug:25/11/19 Von: ROME CIAMPINO APT Fluglinie: FR Klasse: W Flugschein Nummer: OU7PWR Fluggast: PADMAKUMARAMALLIKAARACHCH",
13/10/2019,"Reference: AT192880008000010035019"," 36,80","HELEN CHAMBER OF COMMER HELEN","39.50 USD COMM.FEE 0.72 Buchungsdatum 14/10/2019 Referenzwechselkurs 1.0948 Entgelt in &#8364; 0,72",
13/10/2019,"Reference: AT192890008000010038732"," 21,18","KING LUDWIGS BIERGARTEN HELEN","22.76 USD COMM.FEE 0.42 Buchungsdatum 15/10/2019 Referenzwechselkurs 1.0963 Entgelt in &#8364; 0,42",
